iter	Passed	Remaining
148	326	1864
149	327	1856
150	328	1847
151	329	1838
152	330	1830
153	332	1824
154	333	1816
155	334	1808
156	335	1799
157	335	1790
158	336	1781
159	337	1773
160	338	1763
161	339	1754
162	339	1745
163	340	1737
164	342	1731
165	343	1724
166	344	1716
167	344	1708
168	345	1701
169	347	1695
170	348	1689
171	349	1682
172	350	1674
173	351	1668
174	352	1660
175	353	1653
176	353	1645
177	354	1638
178	355	1631
179	356	1624
180	357	1617
181	358	1610
182	359	1604
183	360	1597
184	361	1591
185	362	1587
186	363	1581
187	364	1574
188	365	1568
189	366	1561
190	367	1555
191	368	1548
192	368	1542
193	369	1536
194	370	1530
195	371	1525
196	372	1520
197	374	1514
198	375	1509
199	376	1504
200	377	1501
201	378	1496
202	379	1491
203	380	1486
204	381	1481
205	382	1475
206	383	1470
207	385	1466
208	386	1461
209	387	1456
210	388	1451
211	389	1446
212	390	1441
213	391	1436
214	392	1433
215	393	1428
216	394	1423
217	395	1418
218	396	1413
219	397	1408
220	398	1403
221	399	1400
222	400	1396
223	401	1391
224	402	1387
225	403	1383
226	404	1378
227	405	1374
228	407	1372
229	408	1368
230	409	1364
231	411	1362
232	412	1358
233	414	1355
234	415	1351
235	416	1346
236	416	1342
237	417	1337
238	418	1333
239	419	1328
240	420	1324
241	421	1320
242	423	1317
243	424	1313
244	425	1309
245	425	1305
246	426	1301
247	428	1298
248	429	1294
249	429	1289
250	430	1285
251	431	1281
252	432	1277
253	433	1272
254	434	1268
255	435	1264
256	436	1260
257	437	1258
258	438	1255
259	439	1251
260	440	1247
261	441	1242
262	442	1239
263	443	1236
264	444	1232
265	445	1229
266	446	1225
267	447	1222
268	448	1218
269	449	1214
270	450	1211
271	451	1208
272	453	1207
273	454	1203
274	455	1200
275	456	1197
276	457	1193
277	458	1189
278	459	1186
279	459	1182
280	460	1179
281	461	1175
282	462	1171
283	463	1168
284	464	1164
285	465	1161
286	466	1158
287	468	1157
288	469	1153
289	470	1151
290	471	1147
291	471	1144
292	472	1140
293	473	1137
294	474	1133
295	475	1130
296	476	1127
297	477	1124
298	478	1120
299	479	1117
300	479	1114
301	480	1111
302	482	1110
303	483	1107
304	485	1105
305	485	1102
306	487	1100
307	488	1097
308	490	1095
309	491	1093
310	492	1090
311	493	1087
312	494	1085
313	495	1082
314	497	1081
315	498	1079
316	499	1076
317	500	1074
318	501	1071
319	502	1068
320	503	1065
321	504	1063
322	505	1060
323	506	1057
324	507	1054
325	508	1052
326	509	1049
327	510	1046
328	512	1045
329	513	1042
330	514	1040
331	515	1037
332	516	1035
333	518	1033
334	519	1031
335	520	1028
336	521	1026
337	522	1023
338	523	1021
339	524	1018
340	525	1016
341	527	1014
342	528	1012
343	529	1009
344	530	1007
345	531	1004
346	532	1001
347	533	999
348	534	996
349	535	994
350	536	991
351	537	989
352	538	986
353	539	984
354	540	981
355	541	979
356	542	977
357	543	975
358	544	972
359	545	970
360	546	967
361	547	965
362	548	962
363	549	960
364	550	957
365	551	955
366	552	952
367	553	949
368	554	947
369	554	944
370	555	942
371	557	941
372	558	939
373	559	937
374	560	934
375	561	932
376	562	929
377	563	927
378	564	924
379	565	922
380	566	920
381	567	918
382	568	915
383	569	913
384	570	911
385	572	910
386	573	908
387	574	905
388	575	903
389	576	901
390	577	899
391	578	896
392	579	894
393	579	891
394	580	889
395	581	887
396	582	884
397	583	882
398	584	880
399	586	879
400	587	877
401	588	875
402	589	873
403	590	871
404	592	870
405	593	867
406	594	865
407	595	863
408	596	861
409	597	859
410	598	857
411	599	855
412	600	853
413	601	852
414	603	850
415	604	848
416	605	846
417	606	844
418	607	843
419	609	841
420	610	839
421	611	837
422	612	835
423	614	834
424	615	832
425	616	830
426	617	828
427	618	826
428	619	824
429	620	822
430	621	821
431	622	818
432	623	816
433	624	814
434	625	812
435	626	810
436	627	808
437	628	806
438	629	804
439	630	801
440	631	800
441	632	798
442	633	796
443	634	795
444	635	793
445	636	791
446	638	789
447	639	787
448	640	785
449	641	783
450	642	782
451	643	780
452	644	778
453	645	776
454	647	776
455	649	774
456	650	772
457	651	770
458	652	768
459	653	766
460	654	764
461	655	762
462	655	760
463	656	758
464	657	756
465	658	754
466	659	752
467	660	750
468	662	749
469	663	747
470	664	745
471	665	744
472	666	742
